Field: G37.554+0.201

219.7822528250~219.8437714682GHz LSRK
219.9375141626~220.0087976698GHz LSRK
220.1933535994~220.2070244090GHz LSRK
220.2597546746~220.3310381818GHz LSRK
220.3857214202~220.5185235706GHz LSRK
220.7362800378~220.7685040890GHz LSRK
220.8251403002~220.8554113786GHz LSRK

SpectralWindow: 29
230.0527570069~230.0634983749GHz LSRK
230.1162287269~230.1943477669GHz LSRK
230.2539135349~230.2587959749GHz LSRK
230.3300795989~230.3935513189GHz LSRK
230.6064257029~230.7314161669GHz LSRK
230.7724286629~230.9872560229GHz LSRK
231.0351039349~231.1522824949GHz LSRK
231.1991539189~231.2216131429GHz LSRK
231.2665315909~231.2792259349GHz LSRK
231.3241443829~231.3700393189GHz LSRK
231.4139812789~231.9149196229GHz LSRK

SpectralWindow: 31
232.0567880273~232.1388130445GHz LSRK
232.2520856873~232.2559916405GHz LSRK
232.4073473270~232.5284318762GHz LSRK
232.5792092678~232.6377985658GHz LSRK
232.7188470947~232.7959896704GHz LSRK
232.8487200386~232.8799676642GHz LSRK
232.9287920792~233.7363479033GHz LSRK

Field: G37.030-0.038

SpectralWindow: 25
216.6726836825~216.6765896225GHz LSRK
216.6892839275~216.7146725375GHz LSRK
216.7390846625~216.8132975225GHz LSRK
216.8406391025~216.8484509825GHz LSRK
216.8572393475~216.8748160775GHz LSRK
216.9119225075~216.9236403275GHz LSRK
216.9392640875~216.9802764575GHz LSRK
216.9998061575~217.0310536775GHz LSRK
217.0623011975~217.0769484725GHz LSRK
217.1003841125~217.1101489625GHz LSRK
217.1277256925~217.1697145475GHz LSRK
217.2029150375~217.2273271625GHz LSRK
217.2517392875~217.2673630475GHz LSRK
217.2917751725~217.3523172425GHz LSRK
217.3972355525~217.4030944625GHz LSRK
217.4275065875~217.4421538625GHz LSRK
217.4538716825~217.4734013825GHz LSRK
217.4821897475~217.4860956875GHz LSRK
217.5163667225~217.6862751125GHz LSRK
217.7282639675~217.7419347575GHz LSRK
217.7682998525~217.7722057925GHz LSRK
217.7975944025~217.8190770725GHz LSRK
217.8347008325~217.8727837475GHz LSRK
217.9137961175~218.0797985675GHz LSRK
218.1071401475~218.1178814825GHz LSRK
218.1461995475~218.1540114275GHz LSRK
218.1803765225~218.2506834425GHz LSRK
218.2995076925~218.3180609075GHz LSRK
218.3288022425~218.3444260025GHz LSRK
218.3698146125~218.3746970375GHz LSRK
218.4069210425~218.4108269825GHz LSRK
218.4284037125~218.4616042025GHz LSRK
218.4742985075~218.4850398425GHz LSRK

SpectralWindow: 27
219.0087983548~219.0468812854GHz LSRK
219.0800817890~219.1054704094GHz LSRK
219.1660125042~219.1748008728GHz LSRK
219.2226486574~219.2363194530GHz LSRK
219.2578021318~219.2724494128GHz LSRK
219.3466623032~219.3564271572GHz LSRK
219.3642390404~219.3710744382GHz LSRK
219.4062279126~219.4101338542GHz LSRK
220.4588791737~220.4676675423GHz LSRK
220.7078829507~220.7127653777GHz LSRK
220.7723309871~220.7957666367GHz LSRK
220.8094374323~220.8192022863GHz LSRK

SpectralWindow: 29
230.0516993857~230.2147727147GHz LSRK
230.2880092397~230.4081171407GHz LSRK
230.5672845217~230.6756745787GHz LSRK
230.7254754157~230.9754560877GHz LSRK
231.0203744897~231.0545515347GHz LSRK
231.2869554407~231.9070246857GHz LSRK

SpectralWindow: 31
231.8760559110~231.9170683734GHz LSRK
231.9385510918~231.9756576054GHz LSRK
231.9873754518~232.0029992470GHz LSRK
232.1367779934~232.1494723270GHz LSRK
232.1914612766~232.2022026358GHz LSRK
232.2432150982~232.3281694846GHz LSRK
232.3652759982~232.3769938446GHz LSRK
232.4141003582~232.4560893078GHz LSRK
232.5097961038~232.5498320790GHz LSRK
232.5693618230~232.5791266950GHz LSRK
232.5859621054~232.5908445414GHz LSRK
232.6123272598~232.6250215934GHz LSRK
232.6552926966~232.6591986454GHz LSRK
232.6787283894~232.7031405694GHz LSRK
232.7871184686~232.8027422638GHz LSRK
232.8183660590~232.8710963678GHz LSRK
232.9785099598~233.7313815910GHz LSRK

Field: G37.430+1.518

SpectralWindow: 25
216.6377976194~216.6397505912GHz LSRK
216.6631862528~216.6700216541GHz LSRK
216.6895513721~216.6983397452GHz LSRK
216.7539994415~216.7588818710GHz LSRK
216.7676702441~216.7715761877GHz LSRK
216.8282123699~216.8389537148GHz LSRK
216.8614128905~216.8653188341GHz LSRK
216.8838720662~216.8848485521GHz LSRK
